,species,density
557,Cornus sanguinea,0.68
558,Corylus,0.52
559,Corylus avellana,0.52
560,Corymbia,0.84
561,Corymbia citriodora,0.82
562,Corymbia confertiflora,0.78
563,Corymbia ficifolia,0.79
564,Corymbia gummifera,0.82
565,Corymbia henryi,0.87
566,Corymbia maculata,0.84
567,Corymbia nesophila,0.85
568,Corymbia polycarpa,0.87
569,Corymbia terminalis,0.87
570,Corymbia tessellaris,0.92
571,Corymbia torelliana,0.76
572,Corymbia trachyphloia,0.88
573,Couratari,0.59
574,Couratari asterotricha,0.51
575,Couratari macrosperma,0.67
576,Couroupita,0.44
577,Couroupita guianensis,0.44
578,Coutarea,0.6
579,Coutarea hexandra,0.6
580,Crataegus,0.52
581,Crataegus calpodendron,0.62
582,Crataegus laevigata,0.62
583,Crataegus monogyna,0.7
584,Crescentia,0.67
585,Crescentia alata,0.71
586,Crescentia cujete,0.62
587,Croton,0.6
588,Croton floribundus,0.6
589,Croton poecilanthus,0.6
590,Cryptocarya,0.6
591,Cryptocarya aschersoniana,0.57
592,Cryptocarya cunninghamii,0.67
593,Cryptocarya glaucescens,0.55
594,Cryptomeria,0.4
595,Cryptomeria japonica,0.4
596,Cunninghamia,0.32
597,Cunninghamia lanceolata,0.32
598,Cupania,0.63
599,Cupania americana,0.57
600,Cupania oblongifolia,0.67
601,Cupania vernalis,0.66
602,Cupaniopsis,0.68
603,Cupaniopsis anacardioides,0.68
604,Cupressus,0.44
605,Cupressus funebris,0.47
606,Cupressus lusitanica,0.44
607,Cupressus macrocarpa,0.41
608,Cupressus sempervirens,0.44
609,Cupressus torulosa,0.44
610,Cussonia,0.44
611,Cussonia spicata,0.44
612,Cybistax,0.59
613,Cybistax antisyphilitica,0.59
614,Cynometra,0.79
615,Cynometra ramiflora,0.79
616,Cynophalla,0.66
617,Cynophalla amplissima,0.66
618,Cyrilla,0.57
619,Cyrilla racemiflora,0.57
620,Dacryodes,0.5
621,Dacryodes excelsa,0.5
622,Dalbergia,0.79
623,Dalbergia brasiliensis,0.91
624,Dalbergia nigra,0.77
625,Dalbergia sissoo,0.68
626,Damburneya,0.48
627,Damburneya coriacea,0.48
628,Davidia,0.45
629,Davidia involucrata,0.45
630,Delonix,0.53
631,Delonix regia,0.53
632,Dendropanax,0.42
633,Dendropanax arboreus,0.42
634,Diatenopteryx,0.74
635,Diatenopteryx sorbifolia,0.74
636,Dichrostachys,0.99
637,Dichrostachys cinerea,0.99
638,Dillenia,0.57
639,Dillenia alata,0.55
640,Dillenia indica,0.7
641,Dillenia suffruticosa,0.45
642,Dimocarpus,0.7
643,Dimocarpus longan,0.7
644,Diospyros,0.76
645,Diospyros blancoi,0.88
646,Diospyros digyna,0.79
647,Diospyros ebenum,0.74
648,Diospyros inconstans,0.83
649,Diospyros kaki,0.63
650,Diospyros maritima,0.56
651,Diospyros sandwicensis,0.94
652,Diospyros virginiana,0.67
653,Diphysa,0.98
654,Diphysa thurberi,0.98
655,Dipterocarpus,0.69
656,Dipterocarpus caudatus,0.69
657,Dirca,0.33
658,Dirca occidentalis,0.33
659,Dodonaea,0.95
660,Dodonaea viscosa,0.95
661,Dolichandrone,0.43
662,Dolichandrone spathacea,0.43
663,Doryphora,0.52
664,Doryphora sassafras,0.52
665,Dracaena,0.41
666,Dracaena reflexa,0.41
667,Drimys,0.4
668,Drimys winteri,0.4
669,Drypetes,0.75
670,Drypetes lateriflora,0.75
671,Durio,0.52
672,Durio zibethinus,0.52
673,Ecclinusa,0.96
674,Ecclinusa ramiflora,0.96
675,Ehretia,0.51
676,Ehretia acuminata,0.5
677,Ehretia thyrsiflora,0.52
678,Elaeagnus,0.5
679,Elaeagnus angustifolia,0.5
680,Elaeocarpus,0.65
681,Elaeocarpus eumundi,0.7
682,Elaeocarpus obovatus,0.61
683,Elaeocarpus reticulatus,0.63
684,Elaeodendron,0.7
685,Elaeodendron australe,0.73
686,Elaeodendron orientale,0.68
687,Embothrium,0.49
688,Embothrium coccineum,0.49
689,Endiandra,0.62
690,Endiandra sieberi,0.62
691,Endlicheria,0.63
692,Endlicheria paniculata,0.63
693,Endospermum,0.35
694,Endospermum chinense,0.35
695,Enterolobium,0.42
696,Enterolobium contortisiliquum,0.4
697,Enterolobium cyclocarpum,0.43
698,Eriobotrya,0.74
699,Eriobotrya deflexa,0.78
700,Eriobotrya japonica,0.7
701,Eriodictyon,0.54
702,Eriodictyon californicum,0.54
703,Eriotheca,0.43
704,Eriotheca candolleana,0.43
705,Eriotheca pentaphylla,0.43
706,Erythrina,0.27
707,Erythrina crista-galli,0.27
708,Erythrina edulis,0.22
709,Erythrina falcata,0.32
710,Erythrina fusca,0.3
711,Erythrina lysistemon,0.33
712,Erythrina poeppigiana,0.31
713,Erythrina subumbrans,0.23
714,Erythrina variegata,0.28
715,Erythrina vespertilio,0.16
716,Erythrophleum,1.04
717,Erythrophleum chlorostachys,1.04
718,Erythroxylum,1.07
719,Erythroxylum pulchrum,1.07
720,Eucalyptus,0.79
721,Eucalyptus accedens,0.9
722,Eucalyptus acmenoides,0.87
723,Eucalyptus agglomerata,0.6
724,Eucalyptus albens,0.94
725,Eucalyptus amplifolia,0.74
726,Eucalyptus amygdalina,0.61
727,Eucalyptus andrewsii,0.72
728,Eucalyptus astringens,0.82
729,Eucalyptus baileyana,0.8
730,Eucalyptus bancroftii,0.76
731,Eucalyptus baueriana,0.76
732,Eucalyptus baxteri,0.67
733,Eucalyptus blakelyi,0.82
734,Eucalyptus blaxlandii,0.59
735,Eucalyptus bosistoana,0.92
736,Eucalyptus botryoides,0.72
737,Eucalyptus bridgesiana,0.79
738,Eucalyptus caleyi,0.94
739,Eucalyptus calophylla,0.69
740,Eucalyptus calycogona,0.93
741,Eucalyptus camaldulensis,0.72
742,Eucalyptus capitellata,0.7
743,Eucalyptus carnea,0.84
744,Eucalyptus cinerea,0.66
745,Eucalyptus cladocalyx,0.86
746,Eucalyptus cloeziana,0.84
747,Eucalyptus conica,0.93
748,Eucalyptus consideniana,0.76
749,Eucalyptus coolabah,0.96
750,Eucalyptus cornuta,0.91
751,Eucalyptus crebra,0.94
752,Eucalyptus cypellocarpa,0.65
753,Eucalyptus dalrympleana,0.59
754,Eucalyptus dealbata,0.83
755,Eucalyptus deanei,0.64
756,Eucalyptus decorticans,0.98
757,Eucalyptus deglupta,0.45
758,Eucalyptus delegatensis,0.56
759,Eucalyptus diversicolor,0.75
760,Eucalyptus dives,0.65
761,Eucalyptus dunnii,0.66
762,Eucalyptus elata,0.66
763,Eucalyptus eremophila,0.92
764,Eucalyptus erythrocorys,0.7
765,Eucalyptus erythronema,0.89
766,Eucalyptus eugenioides,0.78
767,Eucalyptus exserta,0.87
768,Eucalyptus fastigata,0.6
769,Eucalyptus fibrosa,0.96
770,Eucalyptus fraxinoides,0.5
771,Eucalyptus globoidea,0.68
772,Eucalyptus globulus,0.67
773,Eucalyptus gomphocephala,0.87
774,Eucalyptus goniocalyx,0.78
775,Eucalyptus gracilis,0.92
776,Eucalyptus grandis,0.66
777,Eucalyptus haemastoma,0.71
778,Eucalyptus intertexta,1.03
779,Eucalyptus kingsmillii,0.88
780,Eucalyptus largiflorens,0.94
781,Eucalyptus leucoxylon,0.86
782,Eucalyptus longifolia,0.88
783,Eucalyptus macarthurii,0.64
784,Eucalyptus macrorhyncha,0.71
785,Eucalyptus major,0.91
786,Eucalyptus mannifera,0.67
787,Eucalyptus marginata,0.71
788,Eucalyptus melanophloia,0.93
789,Eucalyptus melliodora,0.91
790,Eucalyptus microcarpa,0.91
791,Eucalyptus microcorys,0.84
792,Eucalyptus microtheca,0.98
793,Eucalyptus miniata,0.9
794,Eucalyptus moluccana,0.95
795,Eucalyptus muelleriana,0.77
796,Eucalyptus nitens,0.54
797,Eucalyptus nova-anglica,0.69
798,Eucalyptus obliqua,0.61
799,Eucalyptus orbifolia,0.98
800,Eucalyptus oreades,0.56
801,Eucalyptus pachyphylla,0.92
802,Eucalyptus paniculata,0.93
803,Eucalyptus parramattensis,0.72
804,Eucalyptus pellita,0.73
805,Eucalyptus phoenicea,0.81
806,Eucalyptus pilularis,0.76
807,Eucalyptus piperita,0.68
808,Eucalyptus planchoniana,0.79
809,Eucalyptus polyanthemos,0.89
810,Eucalyptus populnea,0.94
811,Eucalyptus propinqua,0.89
812,Eucalyptus punctata,0.91
813,Eucalyptus quadrangulata,0.77
814,Eucalyptus radiata,0.62
815,Eucalyptus raveretiana,0.94
816,Eucalyptus regnans,0.52
817,Eucalyptus resinifera,0.82
818,Eucalyptus robusta,0.51
819,Eucalyptus rubida,0.59
820,Eucalyptus rudis,0.52
821,Eucalyptus saligna,0.74
822,Eucalyptus salmonophloia,0.89
823,Eucalyptus salubris,0.94
824,Eucalyptus seeana,0.83
825,Eucalyptus siderophloia,0.95
826,Eucalyptus sideroxylon,0.93
827,Eucalyptus sieberi,0.68
828,Eucalyptus stricklandii,0.92
829,Eucalyptus tereticornis,0.83
830,Eucalyptus tetraptera,0.83
831,Eucalyptus thozetiana,0.96
832,Eucalyptus tindaliae,0.79
833,Eucalyptus torquata,0.9
834,Eucalyptus umbra,0.82
835,Eucalyptus urophylla,0.48
836,Eucalyptus viminalis,0.62
837,Eucalyptus woodwardii,1.0
838,Eucalyptus woollsiana,0.93
839,Eucalyptus youmanii,0.97
840,Eucryphia,0.61
841,Eucryphia lucida,0.61
842,Eugenia,0.77
843,Eugenia axillaris,0.75
844,Eugenia biflora,0.8
845,Eugenia brasiliensis,0.71
846,Eugenia confusa,0.81
847,Eugenia florida,0.75
848,Eugenia foetida,0.71
849,Eugenia ligustrina,0.98
850,Eugenia paniculata,0.62
851,Eugenia pseudopsidium,0.82
852,Eugenia stahlii,0.73
853,Eugenia uniflora,0.83
854,Euphorbia,0.46
855,Euphorbia neriifolia,0.41
856,Euphorbia tirucalli,0.51
857,Eupomatia,0.54
858,Eupomatia laurina,0.54
859,Euroschinus,0.41
860,Euroschinus falcata,0.41
861,Eurya,0.62
862,Eurya japonica,0.62
863,Excoecaria,0.4
864,Excoecaria agallocha,0.4
865,Exocarpos,0.75
866,Exocarpos aphyllus,0.85
867,Exocarpos cupressiformis,0.65
868,Exostema,1.0
869,Exostema caribaeum,1.0
870,Exothea,0.73
871,Exothea paniculata,0.73
872,Fagraea,0.83
873,Fagraea berteroana,0.83
874,Fagus,0.57
875,Fagus crenata,0.55
876,Fagus grandifolia,0.57
877,Fagus sylvatica,0.58
878,Faramea,0.58
879,Faramea occidentalis,0.58
880,Ficus,0.42
881,Ficus altissima,0.47
882,Ficus americana,0.4
883,Ficus aurea,0.44
884,Ficus benghalensis,0.49
885,Ficus benjamina,0.46
886,Ficus citrifolia,0.4
887,Ficus coronata,0.4
888,Ficus drupacea,0.21
889,Ficus elastica,0.62
890,Ficus fraseri,0.4
891,Ficus insipida,0.36
892,Ficus macrophylla,0.3
893,Ficus obliqua,0.52
894,Ficus platypoda,0.5
895,Ficus racemosa,0.36
896,Ficus religiosa,0.44
897,Ficus septica,0.42
898,Ficus sycomorus,0.42
899,Ficus thonningii,0.47
900,Ficus trigonata,0.43
901,Ficus variegata,0.33
